vehicle_type,fuel_type,distance_traveled_km,public_transport_mode,emission_factor_vehicle,appliance_type,appliance_usage_hours,electricity_consumed_kWh,gas_usage_kWh,renewable_energy_contribution,electricity_emission_factor,gas_emission_factor,diet_type,food_item,quantity_consumed_kg,food_emission_factor_kgCO2e,waste_type,disposal_method,waste_generated_kg,waste_emission_factor,season_label,energy_demand_modifier,carbon_emission_total_kgCO2e
diesel_car,diesel,19238.426136348222,private,0.168,dishwasher,4794,3308.201465589008,4491.847333280653,357.4961894511166,0.177,0.18296,balanced,chicken,953.1726086101639,6.1,general,landfill,552.3029856408025,0.45,Spring,1.0,10702.324894473144
bicycle,human,4870.435100867653,private,0.0,hvac,1644,3609.345332788605,18786.59211437247,485.2640470667355,0.177,0.18296,balanced,fish,617.3439510684404,5.4,organic,composting,353.4270246429743,0.01,Autumn,1.1,7413.2406231651785
hybrid_car,hybrid,12110.336796630814,private,0.11,washing_machine,2421,3944.690631962785,31013.554643880187,775.7411967608722,0.177,0.18296,meat_heavy,chicken,954.8447399026928,6.1,general,landfill,258.76962986647084,0.45,Autumn,1.1,13645.586493977458
hybrid_car,hybrid,7182.9554037747075,private,0.11,refrigerator,4519,2533.2881939481363,23862.24772335934,1412.6451381628156,0.177,0.18296,vegetarian,dairy,941.6612500413446,21.0,recyclable,recycling_closed_loop,437.5698018345672,0.021,Winter,1.4,25388.429164916626
hybrid_car,hybrid,1377.571374579176,private,0.11,dishwasher,2642,4977.001104304335,7007.419267196239,1751.7008521934292,0.177,0.18296,balanced,dairy,608.0659752240449,21.0,organic,composting,277.9156350028978,0.01,Autumn,1.1,15086.704111846771
hybrid_car,hybrid,8182.233708490519,private,0.11,tv,767,1989.3617185905318,5699.87796328801,126.34082374385726,0.177,0.18296,vegan,vegetables,856.0311583210582,0.5,recyclable,recycling_closed_loop,369.8896304410711,0.021,Spring,1.0,2730.7956656874467
diesel_car,diesel,4645.909371852508,private,0.168,hvac,4788,2962.974401284502,5866.957274053669,547.8036426584404,0.177,0.18296,vegetarian,grains,1122.3352577681735,0.8,organic,composting,361.4917719583683,0.01,Spring,1.0,3279.8608702935608
hybrid_car,hybrid,3587.3362715459193,private,0.11,tv,2991,6076.11589772853,17505.616320335546,612.2239663505741,0.177,0.18296,balanced,chicken,962.8682046672366,6.1,recyclable,recycling_closed_loop,497.5545127122359,0.021,Autumn,1.1,10556.851758973693
train,electricity,24966.368334036557,public,0.03546,washing_machine,4552,1856.558092001963,4814.601498663707,190.6386517084415,0.177,0.18296,meat_heavy,beef,870.9760490789752,59.6,general,landfill,500.35328978920234,0.45,Spring,1.0,54230.129199116855
bus,diesel,24820.861635543053,public,0.12525,tv,593,995.6594645091768,36350.4910320139,48.919642848161025,0.177,0.18296,balanced,chicken,940.1985299068265,6.1,general,landfill,482.19025043752237,0.45,Spring,1.0,15887.927129415682
petrol_car,petrol,18752.17848105564,private,0.17,tv,797,6778.018630667361,5339.135862772424,502.4788734861183,0.177,0.18296,vegetarian,dairy,899.6485912830927,21.0,general,landfill,348.1729781726353,0.45,Autumn,1.1,24413.72619398306
train,electricity,10792.493337366006,public,0.03546,hvac,1012,5137.817762722591,17274.052846234958,2587.9380329162477,0.177,0.18296,vegetarian,dairy,934.4675706804463,21.0,recyclable,recycling_closed_loop,496.8644990532889,0.021,Autumn,1.1,24086.809405261538
hybrid_car,hybrid,9341.032089130184,private,0.11,tv,3899,3133.934497603776,9663.998738825094,632.0910076663415,0.177,0.18296,vegan,fruits,915.8709354469282,0.4,organic,composting,376.54128666248533,0.01,Spring,1.0,3720.458932181024
bicycle,human,3754.648668370676,private,0.0,hvac,1408,7942.9342393952065,4256.264328210959,585.5925707006323,0.177,0.18296,meat_heavy,dairy,985.1108168467665,21.0,recyclable,recycling_closed_loop,417.45778128318386,0.021,Autumn,1.1,22880.719249051475
bus,diesel,52727.8848846235,public,0.12525,washing_machine,2753,2896.478376722843,10447.497356224427,128.47276860853637,0.177,0.18296,balanced,fish,766.2643924760937,5.4,organic,composting,430.15473423336124,0.01,Autumn,1.1,13170.447637487097
petrol_car,petrol,2189.163481258018,private,0.17,dishwasher,2525,3300.933816340189,2033.6193886568794,283.5361967291078,0.177,0.18296,meat_heavy,chicken,1438.091125161996,6.1,general,landfill,259.8148937207719,0.45,Summer,0.7,10217.766646317259
hybrid_car,hybrid,3451.993226498716,private,0.11,hvac,4819,1200.6275033453592,16994.798280240582,198.5992910422555,0.177,0.18296,vegetarian,vegetables,1094.7184861270364,0.5,organic,composting,406.85629748060273,0.01,Autumn,1.1,4253.0264223981285
bus,diesel,2385.4143190259583,public,0.12525,dishwasher,1319,8089.311628649475,14220.38582296745,418.6498080272947,0.177,0.18296,balanced,dairy,1261.4285508564856,21.0,general,landfill,276.91356835660446,0.45,Winter,1.4,30946.953765645754
hybrid_car,hybrid,17555.172647328447,private,0.11,refrigerator,4064,1446.2879009004305,14749.743634380891,198.47693844830619,0.177,0.18296,meat_heavy,beef,1059.3969346466372,59.6,general,landfill,267.9543386915724,0.45,Spring,1.0,68146.31180236262
train,electricity,5407.35745906433,public,0.03546,tv,610,6095.389570904144,16038.52890764538,284.78444651308956,0.177,0.18296,meat_heavy,chicken,1094.7665841823575,6.1,recyclable,recycling_closed_loop,328.5648581973632,0.021,Winter,1.4,10890.014124025778
hybrid_car,hybrid,22643.668115717195,private,0.11,dishwasher,4043,8417.554933106805,10016.926469628395,2200.376263639617,0.177,0.18296,meat_heavy,beef,1082.5561853872996,59.6,recyclable,recycling_closed_loop,317.93176816482895,0.021,Winter,1.4,70340.43279898653
diesel_car,diesel,6412.631783367389,private,0.168,tv,3143,2283.746280918433,16735.985157705476,679.1304139172898,0.177,0.18296,balanced,chicken,1068.2303949633288,6.1,general,landfill,318.4189715034562,0.45,Autumn,1.1,11203.055022234937
bicycle,human,13813.607150337304,private,0.0,hvac,4062,2936.9880004472006,11598.069683093303,419.2801282313871,0.177,0.18296,meat_heavy,beef,828.5684887167436,59.6,general,landfill,672.0169166589624,0.45,Autumn,1.1,52326.919245312354
bus,diesel,11955.963715723117,public,0.12525,tv,4959,4330.000004676012,8606.38707600493,492.23296694039556,0.177,0.18296,vegetarian,grains,697.030555062827,0.8,organic,composting,392.7171087343127,0.01,Autumn,1.1,4400.070650785441
diesel_car,diesel,3634.761895300019,private,0.168,washing_machine,3059,3613.866688631103,9832.604249307133,545.0015140782092,0.177,0.18296,vegetarian,grains,1030.7450211891055,0.8,general,landfill,438.53173797288366,0.45,Spring,1.0,4071.2029747904235
hybrid_car,hybrid,17505.251530937458,private,0.11,dishwasher,1166,4314.005619899739,3967.87731621701,986.2110183069154,0.177,0.18296,vegan,grains,812.4349920169755,0.8,organic,composting,505.3802052034903,0.01,Spring,1.0,4070.1212925660534
bicycle,human,56697.825846702566,private,0.0,tv,2645,3174.266964698262,4658.302582618566,666.9184423472541,0.177,0.18296,meat_heavy,chicken,1130.2782502611594,6.1,recyclable,recycling_closed_loop,513.5565640180599,0.021,Spring,1.0,8319.610307704937
petrol_car,petrol,11757.541151050944,private,0.17,dishwasher,4145,4439.295764476155,24738.12935415896,1000.9054114491456,0.177,0.18296,meat_heavy,dairy,626.5469614816503,21.0,general,landfill,408.18741393863223,0.45,Autumn,1.1,20651.796020014906
bicycle,human,13092.832268597835,private,0.0,dishwasher,758,4220.4768283082485,13411.497729371078,684.0390209609552,0.177,0.18296,vegetarian,dairy,1135.9195497869352,21.0,recyclable,recycling_closed_loop,292.2255222070694,0.021,Autumn,1.1,27061.239304668285
petrol_car,petrol,3655.655854166283,private,0.17,washing_machine,2628,7633.555607404354,2482.769716480202,582.7689680345848,0.177,0.18296,vegan,grains,1037.2908629538856,0.8,organic,composting,463.3919022318011,0.01,Autumn,1.1,3261.3149944314832
hybrid_car,hybrid,6540.41548791233,private,0.11,hvac,4465,6100.681031595174,14710.369207304282,690.5537745574945,0.177,0.18296,vegetarian,dairy,933.0997528318103,21.0,organic,composting,486.5755194170121,0.01,Autumn,1.1,24090.63596109328
bus,diesel,4996.286542144127,public,0.12525,tv,4033,512.7869610134358,5203.67292311228,43.316643431441285,0.177,0.18296,meat_heavy,beef,1206.4930521102292,59.6,general,landfill,491.78619470547756,0.45,Summer,0.7,73796.90187290267
bicycle,human,274.61175609242457,private,0.0,refrigerator,2913,1901.3215130902947,2962.421627489949,32.06219657537798,0.177,0.18296,vegetarian,dairy,988.09492878764,21.0,general,landfill,477.4634053429337,0.45,Summer,0.7,21843.390605727305
diesel_car,diesel,9004.971669625014,private,0.168,dishwasher,2012,7592.36716294475,6326.708241519793,1395.7181592962347,0.177,0.18296,balanced,dairy,1026.1481154572182,21.0,general,landfill,256.9858622039367,0.45,Spring,1.0,25678.972830800038
petrol_car,petrol,9912.98774063851,private,0.17,hvac,4253,839.1181746779431,6326.188672728669,143.72057763041116,0.177,0.18296,balanced,chicken,879.9566245682411,6.1,organic,composting,446.2103474263271,0.01,Summer,0.7,8363.368825729513
bus,diesel,13469.331534681614,public,0.12525,refrigerator,1681,6235.043562430844,3704.0234089963,557.2064272545482,0.177,0.18296,meat_heavy,chicken,609.5824400954996,6.1,recyclable,recycling_closed_loop,276.2184501173151,0.021,Autumn,1.1,7192.578080214104
diesel_car,diesel,7453.631631029943,private,0.168,dishwasher,2782,2815.708266425922,10631.951722604,1019.274804869307,0.177,0.18296,vegetarian,grains,1169.920419404205,0.8,general,landfill,350.69990653411674,0.45,Spring,1.0,4789.563657801764
petrol_car,petrol,16880.830228153332,private,0.17,refrigerator,2374,2184.2678978466993,2160.8182524747663,446.95252321013277,0.177,0.18296,vegetarian,vegetables,887.963791960606,0.5,recyclable,recycling_closed_loop,462.96288419236123,0.021,Summer,0.7,4105.403980726058
hybrid_car,hybrid,9072.37974764981,private,0.11,tv,1394,5513.340258827768,4500.0296488826125,582.1280504715897,0.177,0.18296,meat_heavy,beef,959.5614695132211,59.6,general,landfill,340.842861116417,0.45,Autumn,1.1,60140.39129310392
hybrid_car,hybrid,18480.940561921216,private,0.11,tv,1456,3007.4433165031614,1919.2736333836256,247.30417581273048,0.177,0.18296,meat_heavy,dairy,937.9466486813088,21.0,recyclable,recycling_closed_loop,402.1003841632759,0.021,Summer,0.7,22621.694963171176
petrol_car,petrol,23618.435057360064,private,0.17,dishwasher,4989,2051.649553610351,13724.59551621295,626.2640085603831,0.177,0.18296,vegetarian,vegetables,757.1622774424536,0.5,organic,composting,609.2387275685461,0.01,Autumn,1.1,7274.001452383477
petrol_car,petrol,22251.957360514883,private,0.17,dishwasher,2557,2541.430849767687,7198.401370329157,791.8875383522835,0.177,0.18296,balanced,fish,864.5676576975777,5.4,general,landfill,310.2745628514168,0.45,Spring,1.0,10357.974431261891
petrol_car,petrol,8688.676711153472,private,0.17,tv,2877,5872.192054336532,15257.9351931211,910.535765749816,0.177,0.18296,vegetarian,dairy,1048.7374422983823,21.0,organic,composting,343.6275447196025,0.01,Autumn,1.1,27334.96742116032
petrol_car,petrol,13038.06508693923,private,0.17,hvac,4431,2175.8264534731884,27291.205692046784,123.70589456338064,0.177,0.18296,vegetarian,dairy,957.3105696576306,21.0,organic,composting,259.25362256234445,0.01,Winter,1.4,27700.90583949717
petrol_car,petrol,10161.642586932245,private,0.17,refrigerator,3839,1743.7875023661904,4930.785885321488,382.1861202084751,0.177,0.18296,balanced,chicken,942.2682722159724,6.1,recyclable,recycling_closed_loop,299.7470635362192,0.021,Summer,0.7,8692.397362127409
bus,diesel,25773.085326852735,public,0.12525,dishwasher,1679,2481.1992541545533,7861.900910599648,535.9255679520138,0.177,0.18296,meat_heavy,dairy,919.7559056228328,21.0,recyclable,recycling_closed_loop,440.17117220989417,0.021,Spring,1.0,24429.78220847287
diesel_car,diesel,17542.356711426735,private,0.168,dishwasher,1029,3393.025271920283,10630.864083903472,616.8851213954904,0.177,0.18296,meat_heavy,beef,1191.8541652170413,59.6,organic,composting,449.799829124545,0.01,Spring,1.0,76531.71053866748
